Sepang;collisions;13.07;2.49
Oschersleben;collisions;0.24;0.04
SaoPaulo;collisions;-110.11;10.08
Spa;collisions;93.23;17.16
Sepang;collisions;10.03;1.88
YasMarina;collisions;19.08;3.54
YasMarina;collisions;0.48;0.08
Oschersleben;collisions;8.78;1.68
Melbourne;collisions;-176.71;5.97
Austin;collisions;19.58;3.64
Monza;collisions;33.47;6.18
Spa;collisions;27.65;5.11
Austin;collisions;30.45;5.63
Oschersleben;collisions;11.69;2.24
MoscowRaceway;collisions;12.39;2.39
Budapest;collisions;27.66;5.14
YasMarina;collisions;0;0.0
Sakhir;collisions;18.24;3.39
Melbourne;collisions;4.83;0.91
Catalunya;collisions;15.53;2.89
Catalunya;collisions;19.01;3.6
SaoPaulo;collisions;6.43;1.24
MexicoCity;collisions;13.12;2.47
Spa;collisions;14.23;2.65
Sochi;collisions;3.84;0.73
Spielberg;collisions;14.98;2.79
Hockenheim;collisions;13.27;2.48
Sakhir;collisions;18.63;3.55
YasMarina;collisions;0.18;0.03
Monza;collisions;-71.66;3.01
Zandvoort;collisions;20.85;3.88
Silverstone;collisions;49.99;9.26
Silverstone;collisions;88.63;16.39
Melbourne;collisions;11.48;2.15
Melbourne;collisions;24.82;4.7
Sakhir;collisions;20.99;3.93
Spielberg;collisions;64.12;11.88
MoscowRaceway;collisions;54.07;10.02
Spa;collisions;26.79;4.97
Sakhir;collisions;38.49;7.14
YasMarina;collisions;22.7;4.32
YasMarina;collisions;11.94;2.48
Sepang;collisions;26.29;4.89
MexicoCity;collisions;48.73;9.03
Oschersleben;collisions;11.12;2.08
Zandvoort;collisions;11.1;2.08
Spa;collisions;8.55;1.65
Spa;collisions;13.36;2.55
SaoPaulo;collisions;42.94;8.29
SaoPaulo;collisions;52.03;9.64
Oschersleben;collisions;10.09;1.89
YasMarina;collisions;4.43;0.84
YasMarina;collisions;49.96;9.26
MexicoCity;collisions;15.69;3.01
Sepang;collisions;-113.42;3.26
Austin;collisions;7.86;1.47
Monza;collisions;54.67;10.09
YasMarina;collisions;15.39;2.86
Sakhir;collisions;25.11;4.67
Budapest;collisions;15.16;2.9
Zandvoort;collisions;9.28;1.78
Nuerburgring;collisions;8.67;1.65
Monza;collisions;25.12;4.65
MoscowRaceway;collisions;8.76;1.65
Catalunya;collisions;51.16;9.46
Zandvoort;collisions;31.99;5.92
Monza;collisions;10.52;2.02
Monza;collisions;11.72;2.23
Monza;collisions;-22.71;1.42
Hockenheim;collisions;52.5;9.77
Austin;collisions;8.41;1.58
Catalunya;collisions;33.05;6.12
Zandvoort;collisions;27.58;5.11
MexicoCity;collisions;18.58;3.54
Melbourne;collisions;-67.72;2.76
MexicoCity;collisions;70.78;13.09
Sepang;collisions;4.08;0.78
BrandsHatch;collisions;220.23;40.61
YasMarina;collisions;0.06;0.01
Sakhir;collisions;11.83;2.25
Catalunya;collisions;-127.0;1.27
Silverstone;collisions;145.16;26.62
YasMarina;collisions;3.08;0.58
Hockenheim;collisions;11.39;2.12
Zandvoort;collisions;7.13;1.34
Melbourne;collisions;9.41;1.8
Austin;collisions;-17.0;0.17
Monza;collisions;120.93;22.17
Catalunya;collisions;46.69;8.59
Nuerburgring;collisions;33.35;6.14
Zandvoort;collisions;35.97;6.62
YasMarina;collisions;8.43;1.62
MoscowRaceway;collisions;-220.26;8.02
Budapest;collisions;5.94;1.12
YasMarina;collisions;11.16;2.08
Sakhir;collisions;15.22;2.82
Monza;collisions;118.76;21.77
Austin;collisions;10.98;2.1
YasMarina;collisions;5.41;1.04
Silverstone;collisions;-100.48;3.5
Nuerburgring;collisions;70.98;13.04
Spa;collisions;58.8;10.83
Sochi;collisions;46.96;8.63
Sochi;collisions;5.13;0.97
Monza;collisions;4.67;0.9
Monza;collisions;16.62;3.18
Sakhir;collisions;-15.17;6.24
YasMarina;collisions;0.42;0.07
Zandvoort;collisions;42.12;7.78
MexicoCity;collisions;52.24;9.62
Monza;collisions;10.06;1.87
Sochi;collisions;20.38;3.87
MexicoCity;collisions;-49.05;1.37
BrandsHatch;collisions;32.94;6.07
Catalunya;collisions;15.0;2.79
Nuerburgring;collisions;118.44;21.77
Monza;collisions;8.3;1.55
Monza;collisions;0.36;0.06
Catalunya;collisions;13.61;2.6
Melbourne;collisions;-144.0;1.44
Hockenheim;collisions;13.22;2.46
Hockenheim;collisions;6.06;1.15
Melbourne;collisions;20.22;3.74
MexicoCity;collisions;6.49;1.23
Budapest;collisions;19.06;3.59
Austin;collisions;-12.0;0.12
Spielberg;collisions;15.61;2.9
MoscowRaceway;collisions;18.19;3.37
SaoPaulo;collisions;28.39;5.24
Sakhir;collisions;48.96;9.02
Melbourne;collisions;-114.8;6.89
Sochi;collisions;23.77;4.42
Monza;collisions;61.62;11.37
Hockenheim;collisions;6.03;1.14
Sepang;collisions;4.48;0.85
MexicoCity;collisions;28.34;5.25
MoscowRaceway;collisions;11.96;2.24
Spa;collisions;6.99;1.32
Oschersleben;collisions;5.58;1.05
Sepang;collisions;27.67;5.13
Sakhir;collisions;10.04;1.88
Monza;collisions;44.1;8.15
Nuerburgring;collisions;8.77;1.65
BrandsHatch;collisions;79.04;14.57
Nuerburgring;collisions;24.51;4.55
Spielberg;collisions;33.25;6.15
Silverstone;collisions;99.74;18.43
YasMarina;collisions;20.03;3.72
Monza;collisions;107.15;19.75
Hockenheim;collisions;25.96;4.81
Budapest;collisions;21.25;4.03
Silverstone;collisions;-27.29;4.02
YasMarina;collisions;5.5;1.04
Melbourne;collisions;48.91;9.02
Nuerburgring;collisions;40.14;7.42
Sakhir;collisions;6.44;1.22
SaoPaulo;collisions;13.54;2.6
Zandvoort;collisions;7.64;1.48
Budapest;collisions;-23.25;4.61
Sepang;collisions;31.92;5.91
Hockenheim;collisions;10.27;1.92
Austin;collisions;17.81;3.31
Spielberg;collisions;57.57;10.63
Catalunya;collisions;26.33;4.97
YasMarina;collisions;3.54;0.68
Hockenheim;collisions;11.55;2.16
Oschersleben;collisions;36.67;6.77
Nuerburgring;collisions;15.11;2.82
Silverstone;collisions;15.31;2.85
MexicoCity;collisions;12.34;2.35
MexicoCity;collisions;-141.27;2.99
Budapest;collisions;10.08;1.89
Silverstone;collisions;6.51;1.23
Austin;collisions;23.04;4.27
MexicoCity;collisions;25.5;4.72
Sepang;collisions;-284.46;8.27
Sochi;collisions;62.69;11.57
Zandvoort;collisions;12.59;2.35
Silverstone;collisions;57.29;10.58
Monza;collisions;42.29;7.82
Sakhir;collisions;-67.0;0.67
MoscowRaceway;collisions;31.55;5.85
MoscowRaceway;collisions;15.6;2.9
Monza;collisions;80.77;14.91
YasMarina;collisions;22.04;4.09
Sochi;collisions;16.36;3.12
Austin;collisions;4.93;0.95
MexicoCity;collisions;-31.16;4.86
BrandsHatch;collisions;14.34;2.67
YasMarina;collisions;28.76;5.33
Spa;collisions;20.58;3.82
MexicoCity;collisions;28.54;5.29
Budapest;collisions;16.76;3.18
Oschersleben;collisions;0;0.0
Nuerburgring;collisions;-102.05;2.45
BrandsHatch;collisions;71.77;13.25
